Name;Station;Time(norwegian mean time);Snow depth
Ny-ålesund;SN99910;14.12.2009;0
Ny-ålesund;SN99910;15.12.2009;0
Ny-ålesund;SN99910;16.12.2009;2
Ny-ålesund;SN99910;17.12.2009;2
Ny-ålesund;SN99910;18.12.2009;6
Ny-ålesund;SN99910;19.12.2009;4
Ny-ålesund;SN99910;20.12.2009;3
Ny-ålesund;SN99910;21.12.2009;1
Ny-ålesund;SN99910;22.12.2009;0
Ny-ålesund;SN99910;23.12.2009;0
Ny-ålesund;SN99910;24.12.2009;0
Ny-ålesund;SN99910;25.12.2009;0
Ny-ålesund;SN99910;26.12.2009;0
Ny-ålesund;SN99910;27.12.2009;0
Ny-ålesund;SN99910;28.12.2009;0
Ny-ålesund;SN99910;29.12.2009;0
Ny-ålesund;SN99910;30.12.2009;0
Ny-ålesund;SN99910;31.12.2009;0
Ny-ålesund;SN99910;01.01.2010;0
Ny-ålesund;SN99910;02.01.2010;0
Ny-ålesund;SN99910;03.01.2010;0
Ny-ålesund;SN99910;04.01.2010;0
Ny-ålesund;SN99910;05.01.2010;0
Ny-ålesund;SN99910;06.01.2010;0
Ny-ålesund;SN99910;07.01.2010;2
Ny-ålesund;SN99910;08.01.2010;3
Ny-ålesund;SN99910;09.01.2010;5
Ny-ålesund;SN99910;10.01.2010;4
Ny-ålesund;SN99910;11.01.2010;3
Ny-ålesund;SN99910;12.01.2010;4
Ny-ålesund;SN99910;13.01.2010;3
Ny-ålesund;SN99910;14.01.2010;5
Ny-ålesund;SN99910;15.01.2010;8
Ny-ålesund;SN99910;16.01.2010;5
Ny-ålesund;SN99910;17.01.2010;5
Ny-ålesund;SN99910;18.01.2010;5
Ny-ålesund;SN99910;19.01.2010;4
Ny-ålesund;SN99910;20.01.2010;9
Ny-ålesund;SN99910;21.01.2010;10
Ny-ålesund;SN99910;22.01.2010;14
Ny-ålesund;SN99910;23.01.2010;14
Ny-ålesund;SN99910;24.01.2010;14
Ny-ålesund;SN99910;25.01.2010;14
Ny-ålesund;SN99910;26.01.2010;6
Ny-ålesund;SN99910;27.01.2010;7
Ny-ålesund;SN99910;28.01.2010;7
Ny-ålesund;SN99910;29.01.2010;7
Ny-ålesund;SN99910;30.01.2010;8
Ny-ålesund;SN99910;31.01.2010;8
Ny-ålesund;SN99910;01.02.2010;8
Ny-ålesund;SN99910;02.02.2010;7
Ny-ålesund;SN99910;03.02.2010;7
Ny-ålesund;SN99910;04.02.2010;7
Ny-ålesund;SN99910;05.02.2010;7
Ny-ålesund;SN99910;06.02.2010;7
Ny-ålesund;SN99910;07.02.2010;7
Ny-ålesund;SN99910;08.02.2010;7
Ny-ålesund;SN99910;09.02.2010;8
Ny-ålesund;SN99910;10.02.2010;7
Ny-ålesund;SN99910;11.02.2010;8
Ny-ålesund;SN99910;12.02.2010;9
Ny-ålesund;SN99910;13.02.2010;8
Ny-ålesund;SN99910;14.02.2010;7
Ny-ålesund;SN99910;15.02.2010;7
Ny-ålesund;SN99910;16.02.2010;10
Ny-ålesund;SN99910;17.02.2010;10
Ny-ålesund;SN99910;18.02.2010;10
Ny-ålesund;SN99910;19.02.2010;10
Ny-ålesund;SN99910;20.02.2010;10
Ny-ålesund;SN99910;21.02.2010;10
Ny-ålesund;SN99910;22.02.2010;10
Ny-ålesund;SN99910;23.02.2010;10
Ny-ålesund;SN99910;24.02.2010;10
Ny-ålesund;SN99910;25.02.2010;10
Ny-ålesund;SN99910;26.02.2010;10
Ny-ålesund;SN99910;27.02.2010;10
Ny-ålesund;SN99910;28.02.2010;10
Ny-ålesund;SN99910;01.03.2010;10
Ny-ålesund;SN99910;02.03.2010;10
Ny-ålesund;SN99910;03.03.2010;20
Ny-ålesund;SN99910;04.03.2010;20
Ny-ålesund;SN99910;05.03.2010;19
Ny-ålesund;SN99910;06.03.2010;10
Ny-ålesund;SN99910;07.03.2010;30
Ny-ålesund;SN99910;08.03.2010;21
Ny-ålesund;SN99910;09.03.2010;21
Ny-ålesund;SN99910;10.03.2010;18
Ny-ålesund;SN99910;11.03.2010;18
Ny-ålesund;SN99910;12.03.2010;18
Ny-ålesund;SN99910;13.03.2010;20
Ny-ålesund;SN99910;14.03.2010;20
Ny-ålesund;SN99910;15.03.2010;18
Ny-ålesund;SN99910;16.03.2010;18
Ny-ålesund;SN99910;17.03.2010;19
Ny-ålesund;SN99910;18.03.2010;19
Ny-ålesund;SN99910;19.03.2010;19
Ny-ålesund;SN99910;20.03.2010;19
Ny-ålesund;SN99910;21.03.2010;19
Ny-ålesund;SN99910;22.03.2010;18
Ny-ålesund;SN99910;23.03.2010;19
Ny-ålesund;SN99910;24.03.2010;18
Ny-ålesund;SN99910;25.03.2010;18
Ny-ålesund;SN99910;26.03.2010;18
Ny-ålesund;SN99910;27.03.2010;19
Ny-ålesund;SN99910;28.03.2010;18
Ny-ålesund;SN99910;29.03.2010;18
Ny-ålesund;SN99910;30.03.2010;18
Ny-ålesund;SN99910;31.03.2010;18
Ny-ålesund;SN99910;01.04.2010;18
Ny-ålesund;SN99910;02.04.2010;18
Ny-ålesund;SN99910;03.04.2010;18
Ny-ålesund;SN99910;04.04.2010;18
Ny-ålesund;SN99910;05.04.2010;18
Ny-ålesund;SN99910;06.04.2010;18
Ny-ålesund;SN99910;07.04.2010;18
Ny-ålesund;SN99910;08.04.2010;18
Ny-ålesund;SN99910;09.04.2010;18
Ny-ålesund;SN99910;10.04.2010;18
Ny-ålesund;SN99910;11.04.2010;22
Ny-ålesund;SN99910;12.04.2010;24
Ny-ålesund;SN99910;13.04.2010;26
Ny-ålesund;SN99910;14.04.2010;25
Ny-ålesund;SN99910;15.04.2010;24
Ny-ålesund;SN99910;16.04.2010;24
Ny-ålesund;SN99910;17.04.2010;24
Ny-ålesund;SN99910;18.04.2010;23
Ny-ålesund;SN99910;19.04.2010;24
Ny-ålesund;SN99910;20.04.2010;23
Ny-ålesund;SN99910;21.04.2010;23
Ny-ålesund;SN99910;22.04.2010;24
Ny-ålesund;SN99910;23.04.2010;23
Ny-ålesund;SN99910;24.04.2010;23
Ny-ålesund;SN99910;25.04.2010;23
Ny-ålesund;SN99910;26.04.2010;24
Ny-ålesund;SN99910;27.04.2010;29
Ny-ålesund;SN99910;28.04.2010;29
Ny-ålesund;SN99910;29.04.2010;26
Ny-ålesund;SN99910;30.04.2010;25
Ny-ålesund;SN99910;01.05.2010;24
Ny-ålesund;SN99910;02.05.2010;24
Ny-ålesund;SN99910;03.05.2010;23
Ny-ålesund;SN99910;04.05.2010;22
Ny-ålesund;SN99910;05.05.2010;22
Ny-ålesund;SN99910;06.05.2010;21
Ny-ålesund;SN99910;07.05.2010;21
Ny-ålesund;SN99910;08.05.2010;17
Ny-ålesund;SN99910;09.05.2010;17
Ny-ålesund;SN99910;10.05.2010;12
Ny-ålesund;SN99910;11.05.2010;11
Ny-ålesund;SN99910;12.05.2010;10
Ny-ålesund;SN99910;13.05.2010;10
Ny-ålesund;SN99910;14.05.2010;10
Ny-ålesund;SN99910;15.05.2010;10
Ny-ålesund;SN99910;16.05.2010;10
Ny-ålesund;SN99910;17.05.2010;9
Ny-ålesund;SN99910;18.05.2010;9
Ny-ålesund;SN99910;19.05.2010;5
Ny-ålesund;SN99910;20.05.2010;8
Ny-ålesund;SN99910;21.05.2010;8
Ny-ålesund;SN99910;22.05.2010;6
Ny-ålesund;SN99910;23.05.2010;6
Ny-ålesund;SN99910;24.05.2010;4
Ny-ålesund;SN99910;25.05.2010;2
Ny-ålesund;SN99910;15.08.2010;4
Ny-ålesund;SN99910;16.08.2010;0
Ny-ålesund;SN99910;18.09.2010;0
Ny-ålesund;SN99910;19.09.2010;0
Ny-ålesund;SN99910;20.09.2010;0
Ny-ålesund;SN99910;11.10.2010;4
Ny-ålesund;SN99910;14.10.2010;3
Ny-ålesund;SN99910;15.10.2010;2
Ny-ålesund;SN99910;16.10.2010;2
Ny-ålesund;SN99910;17.10.2010;6
Ny-ålesund;SN99910;18.10.2010;7
Ny-ålesund;SN99910;19.10.2010;5
Ny-ålesund;SN99910;20.10.2010;3
Ny-ålesund;SN99910;21.10.2010;3
Ny-ålesund;SN99910;22.10.2010;3
Ny-ålesund;SN99910;23.10.2010;3
Ny-ålesund;SN99910;24.10.2010;3
Ny-ålesund;SN99910;25.10.2010;3
Ny-ålesund;SN99910;26.10.2010;4
Ny-ålesund;SN99910;27.10.2010;4
Ny-ålesund;SN99910;28.10.2010;4
Ny-ålesund;SN99910;29.10.2010;4
Ny-ålesund;SN99910;30.10.2010;4
Ny-ålesund;SN99910;31.10.2010;4
Ny-ålesund;SN99910;01.11.2010;4
Ny-ålesund;SN99910;02.11.2010;4
Ny-ålesund;SN99910;03.11.2010;4
Ny-ålesund;SN99910;04.11.2010;3
Ny-ålesund;SN99910;05.11.2010;14
Ny-ålesund;SN99910;06.11.2010;16
Ny-ålesund;SN99910;07.11.2010;16
Ny-ålesund;SN99910;08.11.2010;14
Ny-ålesund;SN99910;09.11.2010;15
Ny-ålesund;SN99910;10.11.2010;15
Ny-ålesund;SN99910;11.11.2010;15
Ny-ålesund;SN99910;12.11.2010;15
Ny-ålesund;SN99910;13.11.2010;14
Ny-ålesund;SN99910;14.11.2010;14
Ny-ålesund;SN99910;15.11.2010;13
Ny-ålesund;SN99910;16.11.2010;18
Ny-ålesund;SN99910;17.11.2010;19
Ny-ålesund;SN99910;18.11.2010;17
Ny-ålesund;SN99910;19.11.2010;20
Ny-ålesund;SN99910;20.11.2010;23
Ny-ålesund;SN99910;21.11.2010;24
Ny-ålesund;SN99910;22.11.2010;24
Ny-ålesund;SN99910;23.11.2010;24
Ny-ålesund;SN99910;24.11.2010;14
Ny-ålesund;SN99910;25.11.2010;13
Ny-ålesund;SN99910;26.11.2010;24
Ny-ålesund;SN99910;27.11.2010;23
Ny-ålesund;SN99910;28.11.2010;20
Ny-ålesund;SN99910;29.11.2010;28
Ny-ålesund;SN99910;30.11.2010;28
Ny-ålesund;SN99910;01.12.2010;28
Ny-ålesund;SN99910;02.12.2010;25
Ny-ålesund;SN99910;03.12.2010;25
Ny-ålesund;SN99910;04.12.2010;30
Ny-ålesund;SN99910;05.12.2010;30
Ny-ålesund;SN99910;06.12.2010;29
Ny-ålesund;SN99910;07.12.2010;28
Ny-ålesund;SN99910;08.12.2010;28
Ny-ålesund;SN99910;09.12.2010;20
Ny-ålesund;SN99910;10.12.2010;20
Ny-ålesund;SN99910;11.12.2010;20
Ny-ålesund;SN99910;12.12.2010;20
Ny-ålesund;SN99910;13.12.2010;18
Ny-ålesund;SN99910;14.12.2010;20
Ny-ålesund;SN99910;15.12.2010;25
Ny-ålesund;SN99910;16.12.2010;23
Ny-ålesund;SN99910;17.12.2010;21
Ny-ålesund;SN99910;18.12.2010;21
Ny-ålesund;SN99910;19.12.2010;33
Ny-ålesund;SN99910;20.12.2010;21
Ny-ålesund;SN99910;21.12.2010;21
Ny-ålesund;SN99910;22.12.2010;20
Ny-ålesund;SN99910;23.12.2010;22
Ny-ålesund;SN99910;24.12.2010;21
Ny-ålesund;SN99910;25.12.2010;23
Ny-ålesund;SN99910;26.12.2010;21
Ny-ålesund;SN99910;27.12.2010;20
Ny-ålesund;SN99910;28.12.2010;22
Ny-ålesund;SN99910;29.12.2010;20
Ny-ålesund;SN99910;30.12.2010;22
Ny-ålesund;SN99910;31.12.2010;20
Ny-ålesund;SN99910;01.01.2011;20
Ny-ålesund;SN99910;02.01.2011;20
Ny-ålesund;SN99910;03.01.2011;20
Ny-ålesund;SN99910;04.01.2011;21
Ny-ålesund;SN99910;05.01.2011;20
Ny-ålesund;SN99910;06.01.2011;20
Ny-ålesund;SN99910;07.01.2011;20
Ny-ålesund;SN99910;08.01.2011;20
Ny-ålesund;SN99910;09.01.2011;20
